CategoryId,CategoryName
0,HISTORY
1,3-LETTER WORDS
2,AIRLINE TRAVEL
3,THAT OLD-TIME RELIGION
4,THE SOLAR SYSTEM
5,SCIENCE CLASS
6,IN THE DICTIONARY
7,HISTORIC WOMEN
8,TV ACTORS & ROLES
9,TRAVEL & TOURISM
10,"""I"" LADS"
11,FOREWORDS
12,BACKWORDS
13,PEOPLE IN HISTORY
14,"THEATRE CROSSWORD CLUES ""M"""
15,SPORTS LEGENDS
16,GENERAL SCIENCE
17,GETTING POSSESSIVE
18,FLAGS OF THE WORLD
19,ARCHITECTS
20,THE EYES HAVE IT
21,ALASKA
22,INTERNATIONAL SPORTSMEN
23,ANGELS
24,"THE ""I""s HAVE IT"
25,THE CIVIL WAR
26,CELEBS
27,WHAT'S IN A NAME?
28,EMOTICONS
29,NOT A CURRENT NATIONAL CAPITAL
30,SCIENCE
31,AT THE MALL
32,FROM THE GREEK
33,FAMOUS SHIPS
34,AMERICAN AUTHORS
35,ANATOMY
36,NAME THE DECADE
37,WORD ORIGINS
38,EUROPEAN HISTORY
39,AMERICAN EXPLORERS
40,MEASURING DEVICES
41,MYTHOLOGY
42,TELEVISION
43,ANNUAL EVENTS
44,HOMOPHONIC PAIRS
45,WORLD FACTS
46,ART & ARTISTS
47,BUSINESS & INDUSTRY
48,POETS
49,MONEY SLANG
50,MEDICINE
51,STATE SUPERLATIVES
52,3 LITTLE LETTERS
53,EARLY AMERICA
54,TRANSPORTATION
55,NATIONAL MONUMENTS
56,THE CIRCUS
57,ON THE RADIO
58,COMMON BONDS
59,ART
60,THE CONSTITUTION
61,SCOTLAND
62,SOMETHING'S FISHY
63,WORLD RELIGION
64,GEOGRAPHIC PHRASES
65,LIBRARIES
66,"""X"", ""Y"", ""Z"""
67,SHAKESPEAREAN LAST SCENES
68,MEDICAL MILESTONES
69,POETS & POETRY
70,WORLD GEOGRAPHY
71,MIXED DRINKS
72,THE 1930s
73,POP MUSIC
74,AMERICAN HISTORY
75,"CANADIAN GEOGRAPHY, EH?"
76,STAMPS
77,THE KILLERS
78,FACIAL EXPRESSIONS
79,RANKS & TITLES
80,IT'S A DATE!
81,PLAYWRIGHTS
82,THE 1890s
83,AMERICAN NICKNAMES
84,VIETNAM
85,CANDY
86,HISTORIC NICKNAMES
87,THE 1990s
88,U.S. STATES
89,"CROSSWORD CLUES ""D"""
90,POTPOURRI
91,AFRICAN GEOGRAPHY
92,AIN'T THAT AMERICA
93,THE BUTLER DID IT
94,SCIENCE & NATURE
95,BRITISH ROYAL HOUSES
96,AND I QUOTE
97,THEATRE
98,20th CENTURY QUOTES
99,WAR STORIES
100,EUROPE
101,"SEEING ""RED"""
102,SAINTS BE PRAISED
103,PHYSICAL SCIENCE
104,NUMBERS
105,FORE!
106,THREE
107,AIRPORT CODES
108,THOSE DARN ETRUSCANS
109,PEOPLE
110,INTERNATIONAL CUISINE
111,WE ARE THE CHAMPIONS
112,RELIGION
113,"""EN"" THE BEGINNING"
114,THE MIDDLE AGES
115,JEWELRY
116,AUSTRALIA
117,SPORTS EQUIPMENT
118,PEANUTS
119,U.S.A.
120,PEN NAMES
121,11-LETTER WORDS
122,MUSICALS
123,FAMOUS NAMES
124,ADVERTISING SLOGANS
125,THE BIBLE
126,WEATHER
127,4-LETTER WORDS
128,AUTHORS
129,WINE
130,MUSIC VIDEOS
131,HOW DO YOU...
132,"TELL 'EM WHAT THEY'VE WON, JOHNNY"
133,MOVIE TITLE TRANSLATIONS
134,JULIUS CAESAR
135,THE 50 STATES
136,FIRST NOVELS
137,CLASSIC AD LINES
138,HORNS
139,IT'S A DOGGY DOG WORLD
140,"""MUM""s THE WORD"
141,ADJECTIVES
142,ASIA
143,TRIALS OF THE CENTURY
144,NAME THE AUTOMAKER
145,HEADS OF STATE
146,MAGAZINES
147,COLLEGES & UNIVERSITIES
148,LITERARY GENRES
149,CANALS
150,HIDDEN BOOKS OF THE BIBLE
151,INDEPENDENCE DAYS
152,FROM THE LATIN
153,THE SILVER SCREEN
154,"ENGLAND, SCOTLAND OR WALES"
155,THE TITANIC
156,SCIENCE GUYS
157,BOOK NAMES
158,WHAT ARE YOU DOING?
159,ASIAN CAPITALS
160,PRESIDENTIAL ELECTIONS
161,3-LETTER ABBREV.
162,U.S. GEOGRAPHY
163,STATE OF THE UNION
164,CELEBRITY RHYME TIME
165,CONDUCTORS
166,FIRST NAME'S THE SAME
167,NOVELS
168,TEENS IN HISTORY
169,RHYME TIME
170,MOUNTAINS
171,SIMPLE SCIENCE
172,ROCK MUSIC
173,ACTRESSES
174,"CROSSWORD CLUES ""M"""
175,FARAWAY PLACES
176,CARTOONS
177,LANGUAGES
178,NURSERY RHYMES
179,CLASSICAL MUSIC
180,WHAT'S YOUR BEEF?
181,MORTAL MATTERS
182,BIRDS
183,AUTHORS' RHYME TIME
184,COUNTRY MUSIC
185,FICTION
186,SHIPS
187,FOOD FACTS
188,NATURE
189,MISC.
190,"""KEY""s"
191,ORGANIZED LABOR
192,VICE PRESIDENTS
193,LESSER-KNOWN AMERICANS
194,WOMEN: WRITE ON!
195,EPONYMS
196,LAST NAME'S THE SAME
197,THE WESTERN HEMISPHERE
198,PLACES
199,19th CENTURY AMERICA
200,GENERAL INFORMATION
201,THE MOVIES
202,WEAPONRY
203,MEDICAL TALK
204,FICTIONAL CHARACTERS
205,"CROSSWORD CLUES ""F"""
206,TOUGH BODIES OF WATER
207,CABLE CHANNELS
208,WOMEN OF THE WORLD
209,SWEET!
210,CHINESE CALENDAR ANIMALS
211,WHO'S THE MRS.?
212,MYTHELLANEOUS
213,THE GODFATHER
214,THE FRENCH CONNECTION
215,SHAKESPEARE
216,SPORTS
217,ON THE MOVE
218,DOUBLE TALK
219,TOUGH MOVIE TRIVIA
220,INTERIOR DESIGN
221,PEOPLE WHO BECAME WORDS
222,THE FALL
223,WORLD MUSEUMS
224,LIFE SCIENCE
225,DOUBLE MEANINGS
226,LITERARY TITLES
227,BALLET
228,WORDS
229,PRESIDENTIAL LIBRARIES
230,JULY
231,WHAT'S ON TV?
232,LITERATURE
233,SYNONYMS
234,ANIMALS
235,HISTORIC AMERICANS
236,PICTURE THIS
237,LIVE IN TEXAS
238,FRENCH ART & ARTISTS
239,ON THE GO
240,3-NAMED AUTHORS
241,HORSE SENSE
242,"""BOO""!"
243,IT BORDERS JUST ONE OTHER COUNTRY
244,21st CENTURY MUSIC
245,ABBREV.
246,"""V"""
247,WORLD LEADERS
248,BESTSELLERS
249,PHOTOGRAPHERS
250,TV CASTS
251,GRAVE MATTERS
252,ARTISTS & THEIR WORKS
253,LITERARY CHARACTERS
254,NUTRITION
255,MOVIE SONGS
256,OXYMORONS
257,PSYCHOLOGY
258,MINERALS
259,GREECE
260,STUPID ANSWERS
261,THE 1960s
262,COMPOSERS
263,GOVERNMENT
264,THE FUNNIES
265,INSECTS
266,GAMBLING
267,THE 1980s
268,ANIMATED FILMS
269,SWEET TREATS
270,LAW & GOVERNMENT
271,DANCE
272,HOLIDAYS & OBSERVANCES
273,SHAKESPEAREAN CHARACTERS
274,REQUIRED READING
275,HOMOPHONES
276,YOU DO THE MATH
277,ODDS & ENDS
278,QUOTATIONS
279,A LITERARY TOUR
280,WHAT'S THAT SOUND?
281,"""B"" PREPARED"
282,WORLD CAPITALS
283,ISRAEL
284,ANAGRAMMED BIRDS
285,ISLANDS
286,WHO'S ON FIRST?
287,NORSE MYTHOLOGY
288,"CROSSWORD CLUES ""R"""
289,CIVIL WAR PEOPLE
290,AT THE MOVIES
291,THE HIGHEST-SCORING SCRABBLE WORD
292,"LITERARY CROSSWORD CLUES ""L"""
293,FROM THE FRENCH
294,SOCIOLOGY
295,DICTATORS & TYRANTS
296,THE ONION
297,WORLD AUTHORS
298,BUSINESS LEADERS
299,5-LETTER WORDS
300,SCIENTISTS
301,FINANCE
302,WAR MOVIES
303,LITERARY BEFORE & AFTER
304,THE BIG APPLE
305,COMPOSERS ON FILM
306,HISTORIC NAMES
307,WHAT A CHARACTER!
308,GEOLOGY
309,NAME THE POET
310,"CROSSWORD CLUES ""B"""
311,U.S. POLITICS
312,ASSASSINS
313,SIGNS & SYMBOLS
314,"CROSSWORD CLUES ""K"""
315,THE CINEMA
316,HAIR TODAY
317,MAIN STREET U.S.A.
318,FLOWERS
319,BEFORE & AFTER
320,BOOK TITLES
321,NOVEL QUOTES
322,"GIVE ME AN ""A""!"
323,WEDDINGS
324,THE EMERALD ISLE
325,WHAT A GEM!
326,1987
327,SNACK ATTACK
328,FIRST LADIES' RHYME TIME
329,MUNICH
330,THE COLOR PURPLE
331,OPERA
332,BODIES OF WATER
333,PLANT PARENTHOOD
334,PRESIDENTIAL RHYME TIME
335,THE GIANTS
336,"THE ""A""s"
337,BASEBALL HISTORY
338,LOW TECH
339,"ALL ""AMERICAN"""
340,ELIZABETH TAYLOR FILMS
341,JURY DUTY
342,THE NOBEL PEACE PRIZE
343,FRUIT
344,ENDS WITH 3 VOWELS
345,STATES' FORMER CAPITALS
346,PLAY ADJECTIVES
347,ACTORS & ACTRESSES
348,BIOGRAPHIES
349,BUSINESS
350,CLASSICAL COMPOSERS
351,PROVERBS
352,THE SUPREME COURT
353,POETRY
354,RIVERS
355,SCULPTURE
356,LYRICS FROM MUSICALS
357,"""PH""UN WORDS"
358,SPORTS HOME CITIES
359,WORMS
360,STATES OF THE UNION
361,DOUBLE LETTERS
362,MAD
363,SPEECH!  SPEECH!
364,"""A"" PLUS"
365,ALL GOD'S CREATURES
366,"""B"" IN GEOGRAPHY"
367,YOU'RE AN ANIMAL!
368,WORLD HISTORY
369,ANAGRAMMED STATE CAPITALS
370,TOM JONES
371,SHAKESPEAREAN OPERAS
372,WORD & PHRASE ORIGINS
373,FILM FACTS
374,U.N. SECRETARIES-GENERAL
375,SONGS
376,AWARDS
377,ANIMAL GROUPS
378,IN THE BOOKSTORE
379,WOMEN'S FASHION
380,"STARTS WITH ""B"""
381,CELEBRITY RELATIVES
382,SPORTS TRIVIA
383,SAY CHEESE
384,EXPLORERS
385,THE HUMAN BODY
386,AMERICAN LITERATURE
387,THE PLANETS
388,ANTIQUES
389,THE REVOLUTIONARY WAR
390,GAME SHOWS
391,THE ENVIRONMENT
392,"THE ""UNDER"" WORLD"
393,WHEN THEY WERE TEENS
394,FAMOUS AMERICANS
395,GREEK MYTHOLOGY
396,LONG WORDS
397,TRAVEL
398,CELEBRITIES' MIDDLE NAMES
399,MESOPOTAMIA
400,MOTHER GOOSE
401,"DEPARTMENT ""S"""
402,STATE FISH
403,U.S. CITIES
404,ITALIAN ART
405,DAYS
406,KNIGHTS
407,GOING DUTCH
408,BRAND NAMES
409,"""DEATH"""
410,ARTHUR MILLER
411,GET YOUR FACTS STRAIGHT
412,4-LETTER VERBS
413,THE FORTUNE 500
414,PLANT LIFE
415,THE 20th CENTURY
416,RHYMES WITH TEEN
417,COLLEGE FOOTBALL
418,TEENS OF THE PAST
419,AUTHOR!  AUTHOR!
420,GEORGE WASHINGTON
421,NO. 1 ALBUMS
422,THE NEW TESTAMENT
423,FOREIGN CURRENCY
424,WORDS WITHIN WORDS
425,ASIAN NATIONS
426,WORLD CITIES
427,WHAT AILS YOU?
428,1957
429,REALLY BIG
430,SHOES
431,POLITICIANS
432,MUSICAL THEATRE
433,ROCKS & MINERALS
434,DOUBLE DOUBLE LETTERS
435,SODA POP QUIZ
436,TREES
437,RODGERS & HAMMERSTEIN
438,BRITISH HISTORY
439,HOLIDAYS
440,BIOLOGY
441,WHO'S THE BOSS
442,THE FILM VAULT
443,GOULASH
444,19th CENTURY LITERATURE
445,SISTER CITIES
446,TOP O' THE CHARTS
447,ALSO A VEGAS CASINO
448,20th CENTURY NOVELS
449,JUST DESSERTS
450,BRIDGES
451,POLITICS
452,PHYSICS
453,AFRICAN AMERICANS
454,WORLD HODGEPODGE
455,NEW YORK TIMES HEADLINES
456,ENGINEERING
457,BETTER KNOWN AS...
458,HISTORIC QUOTES
459,DRAMA
460,TV CHARACTERS
461,SPACE MISSIONS
462,BUSY AS A BEAVER
463,THE OTTOMAN EMPIRE
464,X MARKS THE SPOT
465,OFFICIAL LANGUAGES
466,WORKING ON THE RAILROAD
467,THE NEW YORK TIMES THEATER
468,AMERICANS IN PARIS
469,"CROSSWORD CLUES ""Q"""
470,IT'S EXTINCT
471,ACTORS & THEIR ROLES
472,TECHNOLOGY
473,ETIQUETTE
474,SIMILES
475,FRUITS & VEGETABLES
476,AMERICAN INDIANS
477,NOVELISTS
478,U.S. RIVERS
479,1988
480,FOOD
481,HEALTH & MEDICINE
482,"CROSSWORD CLUES ""E"""
483,ANCIENT HISTORY
484,SAINTS
485,CLOTHING
486,NAMES IN THE NEWS
487,BROADWAY LYRICS
488,STATE BIRDS
489,ANNIVERSARY GIFTS
490,"TELL ME ""Y"""
491,LOST
492,CANADIAN CAPITALS
493,TELEVISION HISTORY
494,DRIVING
495,EXPORTS
496,FAMILIAR PHRASES
497,FEMALE ATHLETES
498,WEBSITES
499,VACATION FUN
500,COMIC & CARTOON CRITTERS
501,OFFICIAL STATE THINGS
502,FIRST NAMES
503,THE NATIONAL PARK SYSTEM
504,SAME FIRST & LAST LETTER
505,FACTS & FIGURES
506,SLOGANEERING
507,FIRST LADIES
508,BOTANY
509,ABBREVIATED
510,WORLD COINS
511,UNOFFICIAL STATE NICKNAMES
512,TV MOVIES
513,ARCHITECTURE
514,KIDDIE LIT
515,PRESIDENTS
516,INNS
517,OATS
518,CLASSIC ADS & JINGLES
519,OCCUPATIONS
520,RUSSIAN LITERATURE
521,PARTS OF THE WHOLE
522,MILITARY TELEVISION
523,THEM'S FIGHTIN' WORDS
524,LITERARY ALLUSIONS
525,THE DIRECTOR'S CHAIR
526,FDR
527,CNN
528,THE CIA
529,THE CAT
530,LET THE GAMES BEGIN
531,RHYME TIME FOOD & DRINK
532,THE CONTINENTS
533,THE SUMMER OLYMPICS
534,AMERICANA
535,CHRISTOPHER COLUMBUS
536,MOVIE MUSIC
537,U.S. PRESIDENTS
538,FURNITURE
539,KILLER MUSICALS
540,"""PIN"" ME"
541,GIRLS IN SONG
542,SEE THE USA
543,WEAPONS
544,THE HUSBAND MARRIED
545,SHAKESPEARE'S WOMEN
546,"STARTS WITH ""W"""
547,SOUTH AMERICA
548,"""DOUBLE"" JEOPARDY"
549,GIANTS OF SCIENCE
550,BATTLES
551,STATE CAPITALS
552,THE OLD WEST
553,TOUGH STUFF
554,"CROSSWORD CLUES ""G"""
555,STOCK SYMBOLS
556,ANCIENT TIMES
557,A BUG'S LIFE
558,RICHARD
559,FRANCE
560,COMIC STRIPS
561,MISSING LINKS
562,MOVIE TAG LINES
563,ASTRONOMY
564,INTERNATIONAL RHYME TIME
565,AWARDS & HONORS
566,BOOKS & AUTHORS
567,GAMES PEOPLE PLAY
568,INVENTORS & INVENTIONS
569,STRUCTURES
570,"""FOR"" WORDS"
571,ENGLISH LIT
572,CELEBRITY MARRIAGES
573,PERFUME
574,BERMUDA SHORTS
575,SOUNDS LIKE A RAPPER
576,THE FABULOUS '50s
577,SNOWBOARDING
578,MED. ABBREV.
579,STORYTELLERS
580,GREAT DAMES
581,A FASHIONABLE CATEGORY
582,2-LETTER WORDS
583,20th CENTURY WORLD LEADERS
584,WESTERNS
585,FUN WITH BALLET
586,ONE-WORD RHYMES
587,BIBLICAL GEOGRAPHY
588,WHO'S YOUR MOMMY?
589,ORGANIZATIONS
590,"""N""ATIONS OF THE WORLD"
591,MOVIE DEBUTS
592,LITERARY OPENINGS
593,GRAINS & STAPLES
594,GEOGRAPHY
595,NOTORIOUS
596,HERBS & SPICES
597,____ OF THE ____
598,AGRICULTURE
599,18th CENTURY AMERICANS
600,MATH TERMS
601,JAY
602,SCIENTIFIC AMERICAN
